word,count,timestamp
can,48,2021-03-08 15:18:03.069531
episode,48,2021-03-08 15:18:03.069531
free,36,2021-03-08 15:18:03.069531
listen,32,2021-03-08 15:18:03.069531
brought,32,2021-03-08 15:18:03.069531
get,29,2021-03-08 15:18:03.069531
first,25,2021-03-08 15:18:03.069531
podcasts,24,2021-03-08 15:18:03.069531
wealthfront,24,2021-03-08 15:18:03.069531
life,23,2021-03-08 15:18:03.069531
tim,22,2021-03-08 15:18:03.069531
will,21,2021-03-08 15:18:03.069531
please,20,2021-03-08 15:18:03.069531
linkedin,20,2021-03-08 15:18:03.069531
greens,20,2021-03-08 15:18:03.069531
also,19,2021-03-08 15:18:03.069531
found,18,2021-03-08 15:18:03.069531
favorite,18,2021-03-08 15:18:03.069531
comments,17,2021-03-08 15:18:03.069531
one,17,2021-03-08 15:18:03.069531
now,17,2021-03-08 15:18:03.069531
use,17,2021-03-08 15:18:03.069531
psychedelic,16,2021-03-08 15:18:03.069531
athletic,16,2021-03-08 15:18:03.069531
best,15,2021-03-08 15:18:03.069531
just,15,2021-03-08 15:18:03.069531
many,14,2021-03-08 15:18:03.069531
today,14,2021-03-08 15:18:03.069531
let,13,2021-03-08 15:18:03.069531
time,13,2021-03-08 15:18:03.069531
